id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,location,price,city,reviews
3477,Christine's Bed and Breakfast,5.0,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Concierge', 'Golf Course', 'Hot Tub', 'Non-smoking hotel', 'Outdoor pool', 'Air conditioning', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",13 Blue Spruce Crt St. Catharines Ontario,Canada,"(43.1956985, -79.2569111)",169.0,Ontario,Exceptional
3479,Springbank House,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Room service', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Suites']",68 Yates St St. Catharines Ontario,Canada,"(43.1563812, -79.2528176)",115.0,Ontario,Very Good
3480,Tigh-na-Mara Bed and Breakfast,5.0,Excellent,"['Free High Speed Internet (WiFi)', 'Air conditioning']",27 Shelley Ave St. Catharines Ontario,Canada,"(43.198615, -79.281011)",115.0,Ontario,Exceptional
3504,Auberge Gouverneur Shawinigan,3.5,Very good,"['Pool', 'Restaurant', 'Free parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Spa', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1100 Promenade du Saint-Maurice Shawinigan Quebec,Canada,"(46.5409162898834, -72.7553981488117)",109.0,Quebec,Exceptional
3511,Auberge La Rocaille,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Pool', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",1851 5e Avenue Quebec,Canada,"(46.6026972, -72.7081068)",68.0,Quebec,Wonderful
3519,Chez Baza,5.0,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Dry Cleaning', 'Hot Tub', 'Laundry Service', 'Non-smoking hotel', 'Outdoor pool', 'Air conditioning', 'Refrigerator in room']",1339 de la Victoire Shawinigan Quebec,Canada,"(52.4760892, -71.8258668)",109.0,Quebec,Exceptional
3521,Gite Au Petit Louis,5.0,Excellent,"['Pool', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms']",201 5e Avenue Quebec,Canada,"(45.763346, -73.810991)",85.0,Quebec,Exceptional
3542,Sand Pebbles Inn,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",2767 West Island Highway Qualicum Beach British Columbia,Canada,"(49.3502554, -124.4043021)",100.0,Columbia,Wonderful
3544,Cedar Grove RV Park & Campground,4.0,Very good,"['Free Internet', 'Free parking', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )']",246 Riverbend Rd Qualicum Beach British Columbia,Canada,"(49.3620155, -124.4845621)",109.0,Columbia,Exceptional
3546,Crown Mansion Boutique Hotel & Villas,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Free parking', 'Restaurant', 'Breakfast included', 'Room service', 'Airport transportation', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",292 Crescent Rd E Qualicum Beach British Columbia,Canada,"(55.001251, -125.002441)",106.0,Columbia,clean and modern furniture with friendly staff. good one night stay near to airport.
